filename|title|category|source_org|document_number|effective_from|summary
admin-penalty-law-2021.md|中华人民共和国行政处罚法（2021修订）|law|全国人大常委会|主席令第70号|2021-07-15|行政处罚定义、种类、程序、救济与城管执法适用要点
urban-management-enforcement-measures.md|城市管理执法办法|law|住房城乡建设部|住房城乡建设部令第34号|2017-05-01|城市管理执法范围、程序、协同与全过程记录要求
city-appearance-environment-regulation.md|城市市容和环境卫生管理条例|law|国务院|国务院令第101号|1992-08-01|市容管理、卫生责任区、垃圾清运与常见违法行为处罚要点
city-road-regulation.md|城市道路管理条例|law|国务院|国务院令第198号|1996-10-01|临时占道、道路挖掘、审批要求、恢复责任与处罚要点
idle-land-disposal-measures.md|闲置土地处置办法|law|原国土资源部|国土资源部令第53号|2012-07-01|闲置土地认定、协商处置、闲置费、无偿收回与救济程序
construction-waste-governance-opinion-2025.md|关于进一步加强城市建筑垃圾治理的意见|policy|国务院办公厅、住房城乡建设部|国办函〔2025〕57号|2025-06-06|建筑垃圾分类处理、运输监管、资源化利用与2027年目标
municipal-solid-waste-measures.md|城市生活垃圾管理办法|law|建设部|建设部令第157号|2007-07-01|生活垃圾分类投放、收运处置、许可管理与禁止行为
dongguan-12345-hotline-measures.md|东莞市12345政务服务便民热线管理办法|business|东莞市人民政府|东莞市人民政府令第164号|2024-03-01|12345热线受理范围、转办时限、首接负责与知识库维护要求
